jobTitle,location,description,jobType,skills,jobId,combined_features
Software testing QA,{hyderabad},Software engineer Technical QA cypress developer ,Permanent,"['{devops', 'cypress', 'javascript}']",JDST1123,"Software engineer Technical QA cypress developer  ['{devops', 'cypress', 'javascript}']"
LeadHyperionDevelopmentSupport,{Bangalore},"EPM Cloud experience with EPBCS is a must.  FCCS will be desirable

EPM automate is a must ",Permanent,"['{""hyperion', 'epm""', 'fccs', 'sql', '""python', 'scripting""}']",JDLE2041,"EPM Cloud experience with EPBCS is a must.  FCCS will be desirable

EPM automate is a must  ['{""hyperion', 'epm""', 'fccs', 'sql', '""python', 'scripting""}']"
Digital Marketing Deputy Manager,{Gurugram},"Job Description Position: Digital Marketing Deputy Manager Experience: 10-12 Years, proven minimum 3 years experience as a Assistant Manager / Manager Working Days: 5 days a week Annual CTC : 15 to 18 lacs Job Location: Gurugram  Summary Zeemo is looking for a driven, dedicated and experienced SEO/digital marketing Team Leader to join our Gurgaon based team of IT professionals. You will be required to demonstrate long term ranking results achieved for projects, especially projects in at least one of these key countries: US UK Australia/NZ Europe  You need to have proven experience in managing SEO & Google Ad projects.  Key Responsibilities & Skills - Create and implement white hat SEO strategy (on-page and off-page) based on in-depth research and analysis. - Experience is managing Adwords campaigns, including cost optimisation and improving conversions. - Perform ongoing technical SEO audits, backlinks analysis, content analysis and Google analytics reporting and dashboard creation.  -",Permanent,"['{seo', '""google', 'adwords""}']",JDDM2192,"Job Description Position: Digital Marketing Deputy Manager Experience: 10-12 Years, proven minimum 3 years experience as a Assistant Manager / Manager Working Days: 5 days a week Annual CTC : 15 to 18 lacs Job Location: Gurugram  Summary Zeemo is looking for a driven, dedicated and experienced SEO/digital marketing Team Leader to join our Gurgaon based team of IT professionals. You will be required to demonstrate long term ranking results achieved for projects, especially projects in at least one of these key countries: US UK Australia/NZ Europe  You need to have proven experience in managing SEO & Google Ad projects.  Key Responsibilities & Skills - Create and implement white hat SEO strategy (on-page and off-page) based on in-depth research and analysis. - Experience is managing Adwords campaigns, including cost optimisation and improving conversions. - Perform ongoing technical SEO audits, backlinks analysis, content analysis and Google analytics reporting and dashboard creation.  - ['{seo', '""google', 'adwords""}']"
Sr.Lead / Associate Manager Salesforce Development ,{Bangalore},"Required Skills and Qualifications:   Bachelor's degree in Computer Science, Engineering, Business or closely related field or equivalent experience Should be with 10 to 12 years of overall experience into IT. 8 to 12 years of experience in a salesforce development, Implementation and Administration. 3+ years of proven leadership experience with leading a team of Salesforce Developers 3+ years of experience developing for Lightning App Builder, Aura Lightning Components, and hands-on experience on LWC. Experience with Eclipse IDE, Apex, Visualforce, Web Services, API, SOAP,  process builder and VF flow.   Working knowledge in SDLC process, Agile Scrum Methodology, and version control software like GIT, Jenkins, etc. Demonstrated experience with developing and maintaining Salesforce integrations such as with API Management tools (e.g., MuleSoft), Salesforce Canvas, Connected Apps, outbound messaging, Salesforce Events, and Apex callouts Demonstrated experience with automated testing dev",Permanent,"['{""salesforce', 'developer""', 'lwc}']",JDS/2334,"Required Skills and Qualifications:   Bachelor's degree in Computer Science, Engineering, Business or closely related field or equivalent experience Should be with 10 to 12 years of overall experience into IT. 8 to 12 years of experience in a salesforce development, Implementation and Administration. 3+ years of proven leadership experience with leading a team of Salesforce Developers 3+ years of experience developing for Lightning App Builder, Aura Lightning Components, and hands-on experience on LWC. Experience with Eclipse IDE, Apex, Visualforce, Web Services, API, SOAP,  process builder and VF flow.   Working knowledge in SDLC process, Agile Scrum Methodology, and version control software like GIT, Jenkins, etc. Demonstrated experience with developing and maintaining Salesforce integrations such as with API Management tools (e.g., MuleSoft), Salesforce Canvas, Connected Apps, outbound messaging, Salesforce Events, and Apex callouts Demonstrated experience with automated testing dev ['{""salesforce', 'developer""', 'lwc}']"
Lead Billing,{Bengaluru},"•    Complete knowledge of billing function in service industry •    Hands on experience of creating manual invoice and closing the disputes. •    Sound knowledge of billing related disputes and ticket resolving process. •    Must communicate & follow up effectively with other AR dept regarding customer accounts on a timely basis. •    Accountable for reducing delinquency for assigned accounts and close open payments via ticket process. •    Manual creation of credit and debit notes. •    Manage the status of accounts and balances and identify inconsistencies •    Issue and post bills, receipts and invoices •    Check the validity of debit accounts •    Update accounts receivable database with new accounts or missed payments •    Ensure all account managers remain informed on their outstanding debts and deadlines •    Write thorough reports on billing activity with clear and reliable data  Additional Skills:     Excellent knowledge of MS Office (particularly Excel)      Proficiency i",Permanent,"['{""accounts', 'receivable""', 'billing}']",JDLB2894,"•    Complete knowledge of billing function in service industry •    Hands on experience of creating manual invoice and closing the disputes. •    Sound knowledge of billing related disputes and ticket resolving process. •    Must communicate & follow up effectively with other AR dept regarding customer accounts on a timely basis. •    Accountable for reducing delinquency for assigned accounts and close open payments via ticket process. •    Manual creation of credit and debit notes. •    Manage the status of accounts and balances and identify inconsistencies •    Issue and post bills, receipts and invoices •    Check the validity of debit accounts •    Update accounts receivable database with new accounts or missed payments •    Ensure all account managers remain informed on their outstanding debts and deadlines •    Write thorough reports on billing activity with clear and reliable data  Additional Skills:     Excellent knowledge of MS Office (particularly Excel)      Proficiency i ['{""accounts', 'receivable""', 'billing}']"
Java Spring boot,{Bengaluru},"Job Description:   Experience : 4 to 8 yrs only apply for this job.   Freshers or less than 4 yrs exp "" pls do not apply waste your time and our time also "".   We are looking for a Senior Java Developer with strong Java, Spring Boot, Core Java, and Hibernate experience to join our dynamic team. The Senior Java Developer will build high-quality, innovative and fully performing software that complies with coding standards and technical design.   Responsibilities:  • Design, develop, and implement Java applications to support business requirements  • Develop, test, debug, and maintain high-quality Java applications  • Follow standard coding practices and software development methodology  • Assist in the collection and documentation of user's requirements, development of user stories, estimates and work plans.  • Develop, maintain, and upgrade existing applications  • Design and implement test plans  • Troubleshoot and resolve technical issues  • Provide technical support for web, desktop,",Permanent,"['{""core', 'java""', 'java', '""spring', 'boot""', 'hibernate}']",JDJS6849,"Job Description:   Experience : 4 to 8 yrs only apply for this job.   Freshers or less than 4 yrs exp "" pls do not apply waste your time and our time also "".   We are looking for a Senior Java Developer with strong Java, Spring Boot, Core Java, and Hibernate experience to join our dynamic team. The Senior Java Developer will build high-quality, innovative and fully performing software that complies with coding standards and technical design.   Responsibilities:  • Design, develop, and implement Java applications to support business requirements  • Develop, test, debug, and maintain high-quality Java applications  • Follow standard coding practices and software development methodology  • Assist in the collection and documentation of user's requirements, development of user stories, estimates and work plans.  • Develop, maintain, and upgrade existing applications  • Design and implement test plans  • Troubleshoot and resolve technical issues  • Provide technical support for web, desktop, ['{""core', 'java""', 'java', '""spring', 'boot""', 'hibernate}']"
Ui developer,{hyderabad},fbdjrfn,Permanent,"['{""react', 'js', '""', '""', 'redux""', '""', 'redux-thunk""', '""', 'html""', '""', 'css""', '""', 'bootstrap""', '""', 'javascript', 'react', 'materials""}']",JDUD9998,"fbdjrfn ['{""react', 'js', '""', '""', 'redux""', '""', 'redux-thunk""', '""', 'html""', '""', 'css""', '""', 'bootstrap""', '""', 'javascript', 'react', 'materials""}']"
Angular Developer,{Hyderabad},"Minimum Qualifications:
Bachelor's degree in computer science engineering or equivalent practical experience.
Minimum 3 years of work experience in end to end application development.
Hands on experience working in software development with one or more languages (e.g. Angular, Java, Javascript, Typescript)
Excellent command over spoken and written English required 

Preferred Qualifications:
Candidates must have experience working in server backend systems as well as web APIs.
Must be open to learn other programming languages as needed.
Must have an ability to share knowledge via mentoring, reviewing code and reviewing design.
Must have a good hold on working with Full Stack Development software and web applications.

Skills Required
Typescript
Javascript
Angular
Java
Reactjs
Any SQL databases ( MySQL, MSSQL, PostgreSQL, SQL server)",Permanent,['{angular}'],JDAD1983,"Minimum Qualifications:
Bachelor's degree in computer science engineering or equivalent practical experience.
Minimum 3 years of work experience in end to end application development.
Hands on experience working in software development with one or more languages (e.g. Angular, Java, Javascript, Typescript)
Excellent command over spoken and written English required 

Preferred Qualifications:
Candidates must have experience working in server backend systems as well as web APIs.
Must be open to learn other programming languages as needed.
Must have an ability to share knowledge via mentoring, reviewing code and reviewing design.
Must have a good hold on working with Full Stack Development software and web applications.

Skills Required
Typescript
Javascript
Angular
Java
Reactjs
Any SQL databases ( MySQL, MSSQL, PostgreSQL, SQL server) ['{angular}']"
Dot Net Developer,{Hyderabad},"BS degree in Computer Science or related technical discipline is required
3+ years proven software engineering experience
Must have proven experience with object-oriented programming
Must have proven experience with .NET platform: C#, ASP.NET, MVC, Web API
Experience with MS SQL database design and development
Experience with REST, XML, JSON, and/or web service experience a plus
Experience with agile methodologies, lean, and CI
Team player who has strong technical, analytical, and problem solving skills 
AWS/Azure experience a plus
Be innovative and always want to learn more",Permanent,"['{""asp', '.net""', '""', 'c#""', '""', 'web', 'api""}']",JDDN7340,"BS degree in Computer Science or related technical discipline is required
3+ years proven software engineering experience
Must have proven experience with object-oriented programming
Must have proven experience with .NET platform: C#, ASP.NET, MVC, Web API
Experience with MS SQL database design and development
Experience with REST, XML, JSON, and/or web service experience a plus
Experience with agile methodologies, lean, and CI
Team player who has strong technical, analytical, and problem solving skills 
AWS/Azure experience a plus
Be innovative and always want to learn more ['{""asp', '.net""', '""', 'c#""', '""', 'web', 'api""}']"
Technical Analyst - QA Automation,{Bangalore},"Should have experience in Automation in UI and API.
Should be good in documentation.
Experience of Playwright/selenium at least for 1 year
Knowledge into NodeJs
Knowledge on YAML.
Good to have exposure to Docker and Kubernetes.
Good to have azure pipelines.
Knowledge of Restful API concepts.
Agile practices",Permanent,"['{""automation', 'testing""', '""', 'ui""', '""', 'api""', '""', 'git""', '""', 'java""', '""', 'nodejs""}']",JDTA2431,"Should have experience in Automation in UI and API.
Should be good in documentation.
Experience of Playwright/selenium at least for 1 year
Knowledge into NodeJs
Knowledge on YAML.
Good to have exposure to Docker and Kubernetes.
Good to have azure pipelines.
Knowledge of Restful API concepts.
Agile practices ['{""automation', 'testing""', '""', 'ui""', '""', 'api""', '""', 'git""', '""', 'java""', '""', 'nodejs""}']"
Digital Mobility developer,{ChennaiBangalorePuneMumbai},"3-5 years of hands on experience on cross-platform web / mobile frameworks like ReactJS / React Native, Flutter, Angular etc.

·         Prior experience on any mobile app development (native or hybrid) is a plus.

·         Good Communication skills, self-starter and proactive.

",Permanent,"['{react', 'reactjs', 'flutter', 'angular}']",JDDM5092,"3-5 years of hands on experience on cross-platform web / mobile frameworks like ReactJS / React Native, Flutter, Angular etc.

·         Prior experience on any mobile app development (native or hybrid) is a plus.

·         Good Communication skills, self-starter and proactive.

 ['{react', 'reactjs', 'flutter', 'angular}']"
C++ Developer,{Bengaluru},"Job Description:  We are looking for an experienced C++ Developer to join our team. The ideal candidate for this role should have a strong background in Linux Multithreading and Shell Scripting.  You will be responsible for developing, deploying, and maintaining complex software solutions for our clients.  Responsibilities:  Design and develop software solutions using C++, Linux Multithreading, and Shell Scripting. Optimize code to ensure that applications meet performance requirements. Collaborate with other developers to define and design application features. Perform unit and integration testing to ensure product quality. Investigate and debug application issues. Monitor application performance and tune accordingly. Provide technical guidance and mentorship to junior developers. Implement security measures to protect application data. Document application design and development process. Skills:  • Expertise in C++, Linux Multithreading, and Shell Scripting.  Proficient in developing",Permanent,"['{c++', 'linux}']",JDCD7178,"Job Description:  We are looking for an experienced C++ Developer to join our team. The ideal candidate for this role should have a strong background in Linux Multithreading and Shell Scripting.  You will be responsible for developing, deploying, and maintaining complex software solutions for our clients.  Responsibilities:  Design and develop software solutions using C++, Linux Multithreading, and Shell Scripting. Optimize code to ensure that applications meet performance requirements. Collaborate with other developers to define and design application features. Perform unit and integration testing to ensure product quality. Investigate and debug application issues. Monitor application performance and tune accordingly. Provide technical guidance and mentorship to junior developers. Implement security measures to protect application data. Document application design and development process. Skills:  • Expertise in C++, Linux Multithreading, and Shell Scripting.  Proficient in developing ['{c++', 'linux}']"
SrJr Graphic Designers,{Hyderabad},"We are looking for a Designer to produce and oversee digital and print creative solutions to
address our client marketing needs. To be successful in this role, you should have in-depth knowledge of graphic design, styles and layout techniques. You should also have experience executing marketing projects from conception to production, including websites, brochures and social media creatives. Ultimately, you will ensure the design team promotes our brand through delivering high quality pieces on tight deadlines.

Responsibilities
● Oversee all design projects, from conception to delivery
● Design original pieces, including illustrations and infographics
● Review junior designers’ work to ensure high quality
● Refine images, fonts and layouts using graphic design software
● Apply typography techniques
● Generate ideas to portray concepts and advertise products/services
● Increase user friendliness in digital products
● Maintain brand consistency throughout all our marketing projects
● Liaise with marketing and design teams to ensure deadlines are met
● Stay up-to-date with industry developments and tools

Requirements
● Proven work experience as a Designer, Graphic Designer or similar role
● Portfolio of completed design projects
● Hands-on experience with image editing software, like Photoshop and Adobe Illustrator
● Proficient in design software (e.g. InDesign and Balsamiq)
● Strong aesthetic skills with the ability to combine various colors, fonts and layouts
● Attention to visual details
● Ability to meet deadlines and collaborate with a team
● BSc degree in Design, Visual Arts or relevant field",Permanent,"['{""graphic', 'designer""}']",JDSG2058,"We are looking for a Designer to produce and oversee digital and print creative solutions to
address our client marketing needs. To be successful in this role, you should have in-depth knowledge of graphic design, styles and layout techniques. You should also have experience executing marketing projects from conception to production, including websites, brochures and social media creatives. Ultimately, you will ensure the design team promotes our brand through delivering high quality pieces on tight deadlines.

Responsibilities
● Oversee all design projects, from conception to delivery
● Design original pieces, including illustrations and infographics
● Review junior designers’ work to ensure high quality
● Refine images, fonts and layouts using graphic design software
● Apply typography techniques
● Generate ideas to portray concepts and advertise products/services
● Increase user friendliness in digital products
● Maintain brand consistency throughout all our marketing projects
● Liaise with marketing and design teams to ensure deadlines are met
● Stay up-to-date with industry developments and tools

Requirements
● Proven work experience as a Designer, Graphic Designer or similar role
● Portfolio of completed design projects
● Hands-on experience with image editing software, like Photoshop and Adobe Illustrator
● Proficient in design software (e.g. InDesign and Balsamiq)
● Strong aesthetic skills with the ability to combine various colors, fonts and layouts
● Attention to visual details
● Ability to meet deadlines and collaborate with a team
● BSc degree in Design, Visual Arts or relevant field ['{""graphic', 'designer""}']"
Nodejs developer,{hyderabad},"At least two years' experience as a Node.js developer.
Extensive knowledge of JavaScript, web stacks, libraries, and frameworks.
Writing AWS lambda functions using node.js
Knowledge of front-end technologies such as HTML5 and CSS3.",Permanent,"['{sql', 'nodejs', 'javascript', 'mongodb', 'reactjs}']",JDND1921,"At least two years' experience as a Node.js developer.
Extensive knowledge of JavaScript, web stacks, libraries, and frameworks.
Writing AWS lambda functions using node.js
Knowledge of front-end technologies such as HTML5 and CSS3. ['{sql', 'nodejs', 'javascript', 'mongodb', 'reactjs}']"
.Net core Developer,"{""Gur/Pune/ Thane""}","Process Exposure

Able to interact with team and understand functional requirements and create design documents for new features.
Exposure to bug fixing, maintenance, continuous integration releases.
Participate in sprint planning and story elaboration sessions.
Candidate should be able to work independently in an Agile project.
Experience with Test-Driven Development, Integration testing and Agile processes.
Reviews peer's code from a standard and design adherence perspective.",Permanent,"['{"".net', 'core""', '""web', 'api""}']",JD.C4410,"Process Exposure

Able to interact with team and understand functional requirements and create design documents for new features.
Exposure to bug fixing, maintenance, continuous integration releases.
Participate in sprint planning and story elaboration sessions.
Candidate should be able to work independently in an Agile project.
Experience with Test-Driven Development, Integration testing and Agile processes.
Reviews peer's code from a standard and design adherence perspective. ['{"".net', 'core""', '""web', 'api""}']"
Java Fullstack Developer,{hyderabad},"• Minimum 3 plus years of experience on Java technologies 
• Experience in Java and related technologies (JDBC, Spring), UI Technologies like ReactJS, jQuery, JavaScript, HTML and CSS development experience 
• Requires Bachelor’s Degree or Foreign Equivalent in Computer Science, Computer Engineering, Computer Information Systems, or a related field of study. 
• Strong experience in Java, J2EE, JDBC, Spring, ReactJS, jQuery, WebMethods, Web Services and Web Application Server: Apache Tomcat 
• Experience in Software Design with applied knowledge of Key design principles • Experience in automating all the aspects of Engineering 
• Experience working in an Agile framework • Experience in developing complex business solutions Continuous Integration, deployment experience and Prototyping experience. 

• Demonstrate problem solving (analysis) and Demonstrate ability to mentor others . Understanding of Data Structures and Algorithms including time and space complexity optimization. 
• Data structures/algorithms development, Unix and SQL/PL SQL database development • Ability to contribute to development team and help achieve key business objectives 
• Ability to perform design and code reviews • Ability to identify system changes and verify that technical system specifications meet the business requirements 
• Ability to guide junior developers and can manage the delivery of the team . Strong written and verbal communication skills including the ability to effectively collaborate with multi-disciplinary groups at all organizational levels 
• Must possess Strong problem-solving skills, analytical skills, good communication, presentation skills, Good attitude, self-motivated and the ability to work independently.",Permanent,"['{html', 'css', 'javascript', 'nodejs', '""web', 'services""', '""backend', 'frontend', 'technologies""', 'java}']",JDJF4818,"• Minimum 3 plus years of experience on Java technologies 
• Experience in Java and related technologies (JDBC, Spring), UI Technologies like ReactJS, jQuery, JavaScript, HTML and CSS development experience 
• Requires Bachelor’s Degree or Foreign Equivalent in Computer Science, Computer Engineering, Computer Information Systems, or a related field of study. 
• Strong experience in Java, J2EE, JDBC, Spring, ReactJS, jQuery, WebMethods, Web Services and Web Application Server: Apache Tomcat 
• Experience in Software Design with applied knowledge of Key design principles • Experience in automating all the aspects of Engineering 
• Experience working in an Agile framework • Experience in developing complex business solutions Continuous Integration, deployment experience and Prototyping experience. 

• Demonstrate problem solving (analysis) and Demonstrate ability to mentor others . Understanding of Data Structures and Algorithms including time and space complexity optimization. 
• Data structures/algorithms development, Unix and SQL/PL SQL database development • Ability to contribute to development team and help achieve key business objectives 
• Ability to perform design and code reviews • Ability to identify system changes and verify that technical system specifications meet the business requirements 
• Ability to guide junior developers and can manage the delivery of the team . Strong written and verbal communication skills including the ability to effectively collaborate with multi-disciplinary groups at all organizational levels 
• Must possess Strong problem-solving skills, analytical skills, good communication, presentation skills, Good attitude, self-motivated and the ability to work independently. ['{html', 'css', 'javascript', 'nodejs', '""web', 'services""', '""backend', 'frontend', 'technologies""', 'java}']"
Trainee Engineer SQL DBA,{Bengaluru},Job Requirement:    Candidate should have Strong T-SQL knowledge Writing SQl queries Implement and m,Permanent,"['{""sql', 'dba""', '""', 'implementation""', '""', 'sql""', '""', 'dbms""}']",JDTE4240,"Job Requirement:    Candidate should have Strong T-SQL knowledge Writing SQl queries Implement and m ['{""sql', 'dba""', '""', 'implementation""', '""', 'sql""', '""', 'dbms""}']"
SSE  Database Administrator ,"{""Mumbai Kolkata""}","Mandatory skills – Must be working on SQLX version, Must know to write Query, Excellent DBA knowledge.   Operations team (Production Support) position   Supporting multiple customers in multiple SQL Server environments   Environments are on premise, hosting and in the cloud   Performance troubleshooting   Health Checks   Architecture design   General production support   Phone support of technologies   Some Dev opportunities available  Requirements:  What you bring to your new team   Minimum 10 years SQL Server 2016, 2017, 2019 DBA experience (senior level)   Minimum 7 years as a Production DBA   Must communicate clearly and effectively both verbally and written   Must be able to demonstrate the ability to troubleshoot and research technical issues   High-level problem determination and resolution skills   Deployment and upgrade of engine and clients   Experience with SSIS Packages, T-SQL, stored procedures, triggers, views, constraints and  functions",Permanent,"['{sql', 'dba', 'ssis}']",JDS3428,"Mandatory skills – Must be working on SQLX version, Must know to write Query, Excellent DBA knowledge.   Operations team (Production Support) position   Supporting multiple customers in multiple SQL Server environments   Environments are on premise, hosting and in the cloud   Performance troubleshooting   Health Checks   Architecture design   General production support   Phone support of technologies   Some Dev opportunities available  Requirements:  What you bring to your new team   Minimum 10 years SQL Server 2016, 2017, 2019 DBA experience (senior level)   Minimum 7 years as a Production DBA   Must communicate clearly and effectively both verbally and written   Must be able to demonstrate the ability to troubleshoot and research technical issues   High-level problem determination and resolution skills   Deployment and upgrade of engine and clients   Experience with SSIS Packages, T-SQL, stored procedures, triggers, views, constraints and  functions ['{sql', 'dba', 'ssis}']"
MAC SME,{Bangalore},"Must have MacOs solution design experience Candidate should have Apple Certified Macintosh Technician (ACMT) , Apple Certified Support Professional (ACSP), or ACP certified or equivalent Designing a system and produce HLD, LLD, tech note Excellent knowledge in mobility infrastructure concepts and hands on experience in end-to-end design and deployment of enterprise mobility management solutions (MDM, MAM, MCM, BYOD, mobile security) like Airwatch / Workspace One, Intune etc.and have good understanding of mobile OSs like Apple iOS, Android, Blackberry etc. as well as Windows. Must have good knowledge on Unix with respect to Mac OS Should have Hands on experience on Workspace One tools.",Permanent,['{macos}'],JDMS1389,"Must have MacOs solution design experience Candidate should have Apple Certified Macintosh Technician (ACMT) , Apple Certified Support Professional (ACSP), or ACP certified or equivalent Designing a system and produce HLD, LLD, tech note Excellent knowledge in mobility infrastructure concepts and hands on experience in end-to-end design and deployment of enterprise mobility management solutions (MDM, MAM, MCM, BYOD, mobile security) like Airwatch / Workspace One, Intune etc.and have good understanding of mobile OSs like Apple iOS, Android, Blackberry etc. as well as Windows. Must have good knowledge on Unix with respect to Mac OS Should have Hands on experience on Workspace One tools. ['{macos}']"
Mean Stack Developer,{Remote},"1. Good communication skills  2. Hands-on experience in Nodejs12+, Angular9+, AWS RDS Postgresql.   ",Permanent,"['{angular', 'node.js', 'aws', 'mongodb}']",JDAF4503,"1. Good communication skills  2. Hands-on experience in Nodejs12+, Angular9+, AWS RDS Postgresql.    ['{angular', 'node.js', 'aws', 'mongodb}']"
 Trainee ERP Consultant,{Bangalore},"    Should have completed B.E / B.Tech / MBA with Finance will be added advantage
    Should have kn",Permanent,"['{""sap', 'fico""', 'erp', '""microsoft', 'dynamics""', 'workday', 'peoplesoft', 'netsuite}']",JDT5782,"    Should have completed B.E / B.Tech / MBA with Finance will be added advantage
    Should have kn ['{""sap', 'fico""', 'erp', '""microsoft', 'dynamics""', 'workday', 'peoplesoft', 'netsuite}']"
Java Fullstack Engineer,{Chennai},"•Understand requirement and translate that to product features.
•Participate in Scrum meetings and express the work done and the plan clearly. Participate in scrum ceremonies and clearly communicate.
•Lead an agile team and provide technical guidance.
Work on application design
•Develop applications using Front end, middleware, and database related technologies.
•Should be hands in developing and implementing best practices and write smart piece of code.
•Coding standard should be followed, and the code should be highly performant.
•Should be able to write unit test cases using any of the frameworks and should be completely automated.
•Should have strong exposure in REST API design and principles and adhere to RAML/Swagger or Open API specification
•Should be able to develop reusable components using proper design patterns as listed by lead/architect so that it is extensible.
•Should be able to use design patterns and implement the right solution.
•Should be able to do code review and implement automation wherever required to ease development process.",Permanent,"['{html', 'jquery', '""java', 'script""', 'jdbc', 'sql', 'azure', 'angular4}']",JDJA9891,"•Understand requirement and translate that to product features.
•Participate in Scrum meetings and express the work done and the plan clearly. Participate in scrum ceremonies and clearly communicate.
•Lead an agile team and provide technical guidance.
Work on application design
•Develop applications using Front end, middleware, and database related technologies.
•Should be hands in developing and implementing best practices and write smart piece of code.
•Coding standard should be followed, and the code should be highly performant.
•Should be able to write unit test cases using any of the frameworks and should be completely automated.
•Should have strong exposure in REST API design and principles and adhere to RAML/Swagger or Open API specification
•Should be able to develop reusable components using proper design patterns as listed by lead/architect so that it is extensible.
•Should be able to use design patterns and implement the right solution.
•Should be able to do code review and implement automation wherever required to ease development process. ['{html', 'jquery', '""java', 'script""', 'jdbc', 'sql', 'azure', 'angular4}']"
FP&A Sr AM (CA),{Bangalore},"Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 MIdnight

WORK FROM OFFICE

Notice: Max 30 days joiners plz
 

Title: Sr AM – FPnA (CA)

Shift Timing: 3 PM to 12 Midnight

Mandatory Skills:

•             CA with post qualification experience of 7 to 8 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•             Experience in top CA firms or in multinational organization is preferred.

•             Excellent stakeholder management skills and interpersonal skills.

•             Demonstrates the ability to manage multiple clients and diverse team.



Job Description:

•             Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•             Work with Business Unit heads to build their annual budgets and forecasts.

•             Producing models to project long-term growth and determine the impacting business factors.

•             Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•             Analyzing financial and operational results to better understand company performance.

•             Support month end close task, Journals, allocations, reporting and consolidation",Permanent,"['{""financial', 'planning', 'and', 'analysis""', '""general', 'accounting""}']",JDFS4653,"Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 MIdnight

WORK FROM OFFICE

Notice: Max 30 days joiners plz
 

Title: Sr AM – FPnA (CA)

Shift Timing: 3 PM to 12 Midnight

Mandatory Skills:

•             CA with post qualification experience of 7 to 8 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•             Experience in top CA firms or in multinational organization is preferred.

•             Excellent stakeholder management skills and interpersonal skills.

•             Demonstrates the ability to manage multiple clients and diverse team.



Job Description:

•             Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•             Work with Business Unit heads to build their annual budgets and forecasts.

•             Producing models to project long-term growth and determine the impacting business factors.

•             Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•             Analyzing financial and operational results to better understand company performance.

•             Support month end close task, Journals, allocations, reporting and consolidation ['{""financial', 'planning', 'and', 'analysis""', '""general', 'accounting""}']"
SQL Developer,"{""Hyderabad, Chennai, Bangalore""}",Oracle SQL Development experience   Good understanding of Oracle Architecture  Strong experience in writing Functions Procedures packages Function etc  Strong experience in writing complex SQL Queries,Permanent,"['{""sql', '""}']",JDSD4978,"Oracle SQL Development experience   Good understanding of Oracle Architecture  Strong experience in writing Functions Procedures packages Function etc  Strong experience in writing complex SQL Queries ['{""sql', '""}']"
ReactJS Developer,{HyderabadBangalore},"Soft skills: • Strong problem solving skills • Experience working in a globally dispersed scrum team • Demonstrated experience in Agile methodologies • Collaboration and engagement skills • Experience in large scale web application delivery • Experience working with Communications and/or Marketing teams and/or Design Agencies • Demonstrated adaptability, goal orientated and innovative individual • A firm grasp of responsive design and mobile application design Technical experience: • In depth knowledge of HTML5 • In depth knowledge of CSS3 (Less, Sass, Stylus is a plus) • Detailed knowledge of ES6, JavaScript • Good knowledge of Node.js & NPM • Gulp or Grunt or webpack experience is a plus • Experience in any JS framework(Angular, React, Vue, etc.,) is preferred Proficiency at all stages of the SDLC, especially in the following tasks • Designm • Specification,• Development,• Unit Testing Adherence to • Software development standards • Agile methodologies• Quality assurance",Contract Hire,['{reactjs}'],JDRD9032,"Soft skills: • Strong problem solving skills • Experience working in a globally dispersed scrum team • Demonstrated experience in Agile methodologies • Collaboration and engagement skills • Experience in large scale web application delivery • Experience working with Communications and/or Marketing teams and/or Design Agencies • Demonstrated adaptability, goal orientated and innovative individual • A firm grasp of responsive design and mobile application design Technical experience: • In depth knowledge of HTML5 • In depth knowledge of CSS3 (Less, Sass, Stylus is a plus) • Detailed knowledge of ES6, JavaScript • Good knowledge of Node.js & NPM • Gulp or Grunt or webpack experience is a plus • Experience in any JS framework(Angular, React, Vue, etc.,) is preferred Proficiency at all stages of the SDLC, especially in the following tasks • Designm • Specification,• Development,• Unit Testing Adherence to • Software development standards • Agile methodologies• Quality assurance ['{reactjs}']"
